DATE,SP500,Change
1/6/2017,2430.06,Up
31/5/2017,2411.8,Down
30/5/2017,2412.91,Down
26/5/2017,2415.82,Up
25/5/2017,2415.07,Up
24/5/2017,2404.39,Up
23/5/2017,2398.42,Up
22/5/2017,2394.02,Up
19/5/2017,2381.73,Up
18/5/2017,2365.72,Up
17/5/2017,2357.03,Down
16/5/2017,2400.67,Down
15/5/2017,2402.32,Up
12/5/2017,2390.9,Down
11/5/2017,2394.44,Down
10/5/2017,2399.63,Up
9/5/2017,2396.92,Down
8/5/2017,2399.38,Up
5/5/2017,2399.29,Up
4/5/2017,2389.52,Up
3/5/2017,2388.13,Down
2/5/2017,2391.17,Up
1/5/2017,2388.33,Up
28/4/2017,2384.2,Down
27/4/2017,2388.77,Up
26/4/2017,2387.45,Down
25/4/2017,2388.61,Up
24/4/2017,2374.15,Up
21/4/2017,2348.69,Down
20/4/2017,2355.84,Up
19/4/2017,2338.17,Down
18/4/2017,2342.19,Down
17/4/2017,2349.01,Up
13/4/2017,2328.95,Down
12/4/2017,2344.93,Down
11/4/2017,2353.78,Down
10/4/2017,2357.16,Up
7/4/2017,2355.54,Down
6/4/2017,2357.49,Up
5/4/2017,2352.95,Down
4/4/2017,2360.16,Up
3/4/2017,2358.84,Down
31/3/2017,2362.72,Down
30/3/2017,2368.06,Up
29/3/2017,2361.13,Up
28/3/2017,2358.57,Up
27/3/2017,2341.59,Down
24/3/2017,2343.98,Down
23/3/2017,2345.96,Down
22/3/2017,2348.45,Up
21/3/2017,2344.02,Down
20/3/2017,2373.47,Down
17/3/2017,2378.25,Down
16/3/2017,2381.38,Down
15/3/2017,2385.26,Up
14/3/2017,2365.45,Down
13/3/2017,2373.47,Up
10/3/2017,2372.6,Up
9/3/2017,2364.87,Up
8/3/2017,2362.98,Down
7/3/2017,2368.39,Down
6/3/2017,2375.31,Down
3/3/2017,2383.12,Up
2/3/2017,2381.92,Down
1/3/2017,2395.96,Up
28/2/2017,2363.64,Down
27/2/2017,2369.75,Up
24/2/2017,2367.34,Up
23/2/2017,2363.81,Up
22/2/2017,2362.82,Down
21/2/2017,2365.38,Up
17/2/2017,2351.16,Up
16/2/2017,2347.22,Down
15/2/2017,2349.25,Up
14/2/2017,2337.58,Up
