Date,FB,AAPL,GOOG
1/6/2017,151.53,153.18,966.95
31/5/2017,151.46,152.76,964.86
30/5/2017,152.38,153.67,975.88
26/5/2017,152.13,153.61,971.47
25/5/2017,151.96,153.87,969.54
24/5/2017,150.04,153.34,954.96
23/5/2017,148.07,153.8,948.82
22/5/2017,148.24,153.99,941.86
19/5/2017,148.06,153.06,934.01
18/5/2017,147.66,152.54,930.24
17/5/2017,144.85,150.25,919.62
16/5/2017,149.78,155.47,943
15/5/2017,150.19,155.7,937.08
12/5/2017,150.33,156.1,932.22
11/5/2017,150.04,153.95,930.6
10/5/2017,150.29,153.26,928.78
9/5/2017,150.48,153.99,932.17
8/5/2017,151.06,153.01,934.3
5/5/2017,150.24,148.96,927.13
4/5/2017,150.85,146.53,931.66
3/5/2017,151.8,147.06,927.04
2/5/2017,152.78,147.51,916.44
1/5/2017,152.46,146.58,912.57
28/4/2017,150.25,143.65,905.96
27/4/2017,147.7,143.79,874.25
26/4/2017,146.56,143.68,871.73
25/4/2017,146.49,144.53,872.3
24/4/2017,145.47,143.64,862.76
21/4/2017,143.68,142.27,843.19
20/4/2017,143.8,142.44,841.65
19/4/2017,142.27,140.68,838.21
18/4/2017,140.96,141.2,836.82
17/4/2017,141.42,141.83,837.17
13/4/2017,139.39,141.05,823.56
12/4/2017,139.58,141.8,824.32
11/4/2017,139.92,141.63,823.35
10/4/2017,141.04,143.17,824.73
7/4/2017,140.78,143.34,824.67
6/4/2017,141.17,143.66,827.88
5/4/2017,141.85,144.02,831.41
4/4/2017,141.73,144.77,834.57
3/4/2017,142.28,143.7,838.55
31/3/2017,142.05,143.66,829.56
30/3/2017,142.41,143.93,831.5
29/3/2017,142.65,144.12,831.41
28/3/2017,141.76,143.8,820.92
27/3/2017,140.32,140.88,819.51
24/3/2017,140.34,140.64,814.43
23/3/2017,139.53,140.92,817.58
22/3/2017,139.59,141.42,829.59
21/3/2017,138.51,139.84,830.46
20/3/2017,139.94,141.46,848.4
17/3/2017,139.84,139.99,852.12
16/3/2017,139.99,140.69,848.78
15/3/2017,139.72,140.46,847.2
14/3/2017,139.32,138.99,845.62
13/3/2017,139.6,139.2,845.54
10/3/2017,138.79,139.14,843.25
9/3/2017,138.24,138.68,838.68
8/3/2017,137.72,139,835.37
7/3/2017,137.3,139.52,831.91
6/3/2017,137.42,139.34,827.78
3/3/2017,137.17,139.78,829.08
2/3/2017,136.76,138.96,830.63
1/3/2017,137.42,139.79,835.24
28/2/2017,135.54,136.99,823.21
27/2/2017,136.41,136.93,829.28
24/2/2017,135.44,136.66,828.64
23/2/2017,135.36,136.53,831.33
22/2/2017,136.12,137.11,830.76
21/2/2017,133.72,136.7,831.66
17/2/2017,133.53,135.72,828.07
16/2/2017,133.84,135.345,824.16
15/2/2017,133.44,135.51,818.98
14/2/2017,133.85,135.02,820.45
13/2/2017,134.05,133.29,819.24
10/2/2017,134.19,132.12,813.67
9/2/2017,134.14,132.42,809.56
8/2/2017,134.2,132.04,808.38
7/2/2017,131.84,131.53,806.97
6/2/2017,132.06,130.29,801.34
3/2/2017,130.98,129.08,801.49
2/2/2017,130.84,128.53,798.53
1/2/2017,133.23,128.75,795.695
31/1/2017,130.32,121.35,796.79
30/1/2017,130.98,121.63,802.32
27/1/2017,132.18,121.95,823.31
26/1/2017,132.78,121.94,832.15
25/1/2017,131.48,121.88,835.67
24/1/2017,129.37,119.97,823.87
23/1/2017,128.93,120.08,819.31
20/1/2017,127.04,120,805.02
19/1/2017,127.55,119.78,802.175
18/1/2017,127.92,119.99,806.07
17/1/2017,127.87,120,804.61
13/1/2017,128.34,119.04,807.88
12/1/2017,126.62,119.25,806.36
11/1/2017,126.09,119.75,807.91
10/1/2017,124.35,119.11,804.79
9/1/2017,124.9,118.99,806.65
6/1/2017,123.41,117.91,806.15
5/1/2017,120.67,116.61,794.02
4/1/2017,118.69,116.02,786.9
3/1/2017,116.86,116.15,786.14
30/12/2016,115.05,115.82,771.82
29/12/2016,116.35,116.73,782.79
28/12/2016,116.92,116.76,785.05
27/12/2016,118.01,117.26,791.55
23/12/2016,117.27,116.52,789.91
22/12/2016,117.4,116.29,791.26
21/12/2016,119.04,117.06,794.56
20/12/2016,119.09,116.95,796.42
19/12/2016,119.24,116.64,794.2
16/12/2016,119.87,115.97,790.8
15/12/2016,120.57,115.82,797.85
14/12/2016,120.21,115.19,797.07
13/12/2016,120.31,115.19,796.1
12/12/2016,117.77,113.3,789.27
9/12/2016,119.68,113.95,789.29
8/12/2016,118.91,112.12,776.42
7/12/2016,117.95,111.03,771.19
6/12/2016,117.31,109.95,759.11
5/12/2016,117.43,109.11,762.52
2/12/2016,115.4,109.9,750.5
1/12/2016,115.1,109.49,747.92
30/11/2016,118.42,110.52,758.04
29/11/2016,120.87,111.46,770.84
28/11/2016,120.41,111.57,768.24
25/11/2016,120.38,111.79,761.68
23/11/2016,120.84,111.23,760.99
22/11/2016,121.47,111.8,768.27
21/11/2016,121.77,111.73,769.2
18/11/2016,117.02,110.06,760.54
17/11/2016,117.79,109.95,771.23
16/11/2016,116.34,109.99,764.48
15/11/2016,117.2,107.11,758.49
14/11/2016,115.08,105.71,736.08
11/11/2016,119.02,108.43,754.02
10/11/2016,120.8,107.79,762.56
9/11/2016,123.18,110.88,785.31
8/11/2016,124.22,111.06,790.51
7/11/2016,122.15,110.41,782.52
4/11/2016,120.75,108.84,762.02
3/11/2016,120,109.83,762.13
2/11/2016,127.17,111.59,768.7
1/11/2016,129.5,111.49,783.61
31/10/2016,130.99,113.54,784.54
28/10/2016,131.29,113.72,795.37
27/10/2016,129.69,114.48,795.35
26/10/2016,131.04,115.59,799.07
25/10/2016,132.29,118.25,807.67
24/10/2016,133.28,117.65,813.11
21/10/2016,132.07,116.6,799.37
20/10/2016,130,117.06,796.97
19/10/2016,130.11,117.12,801.56
18/10/2016,128.57,117.47,795.26
17/10/2016,127.54,117.55,779.96
14/10/2016,127.88,117.63,778.53
13/10/2016,127.82,116.98,778.19
12/10/2016,129.05,117.34,786.14
11/10/2016,128.88,116.3,783.07
10/10/2016,130.24,116.05,785.94
7/10/2016,128.99,114.06,775.08
6/10/2016,128.74,113.89,776.86
5/10/2016,128.47,113.05,776.47
4/10/2016,128.19,113,776.43
3/10/2016,128.77,112.52,772.56
30/9/2016,128.27,113.05,777.29
29/9/2016,128.09,112.18,775.01
28/9/2016,129.23,113.95,781.56
27/9/2016,128.69,113.09,783.01
26/9/2016,127.31,112.88,774.21
23/9/2016,127.96,112.71,786.9
22/9/2016,130.08,114.62,787.21
21/9/2016,129.94,113.55,776.22
20/9/2016,128.64,113.57,771.41
19/9/2016,128.65,113.58,765.7
16/9/2016,129.07,114.92,768.88
15/9/2016,128.35,115.57,771.76
14/9/2016,127.77,111.77,762.49
13/9/2016,127.21,107.95,759.69
12/9/2016,128.69,105.44,769.02
9/9/2016,127.1,103.13,759.66
8/9/2016,130.27,105.52,775.32
7/9/2016,131.05,108.36,780.35
6/9/2016,129.73,107.7,780.08
2/9/2016,126.51,107.73,771.46
1/9/2016,126.17,106.73,768.78
31/8/2016,126.12,106.1,767.05
30/8/2016,125.84,106,769.09
29/8/2016,126.54,106.82,772.15
26/8/2016,124.96,106.94,769.54
25/8/2016,123.89,107.57,769.41
24/8/2016,123.48,108.03,769.64
23/8/2016,124.37,108.85,772.08
22/8/2016,124.15,108.51,772.15
19/8/2016,123.56,109.36,775.42
18/8/2016,123.91,109.08,777.5
17/8/2016,124.37,109.22,779.91
16/8/2016,123.3,109.38,777.14
15/8/2016,123.9,109.48,782.44
12/8/2016,124.88,108.18,783.22
11/8/2016,124.9,107.93,784.85
10/8/2016,124.88,108,784.68
9/8/2016,125.06,108.81,784.26
8/8/2016,125.26,108.37,781.76
5/8/2016,125.15,107.48,782.22
4/8/2016,124.36,105.87,771.61
3/8/2016,122.51,105.79,773.18
2/8/2016,123.09,104.48,771.07
1/8/2016,124.31,106.05,772.88
29/7/2016,123.94,104.21,768.79
28/7/2016,125,104.34,745.91
27/7/2016,123.34,102.95,741.77
26/7/2016,121.22,96.67,738.42
25/7/2016,121.63,97.34,739.77
22/7/2016,121,98.66,742.74
21/7/2016,120.61,99.43,738.63
20/7/2016,121.92,99.96,741.19
19/7/2016,120.61,99.87,736.96
18/7/2016,119.37,99.83,733.78
15/7/2016,116.86,98.78,719.85
14/7/2016,117.29,98.79,720.95
13/7/2016,116.78,96.87,716.98
12/7/2016,117.93,97.42,720.64
11/7/2016,117.87,96.98,715.09
8/7/2016,117.24,96.68,705.63
7/7/2016,115.85,95.94,695.36
6/7/2016,116.7,95.53,697.77
5/7/2016,114,94.99,694.49
1/7/2016,114.19,95.89,699.21
30/6/2016,114.28,95.6,692.1
29/6/2016,114.16,94.4,684.11
28/6/2016,112.7,93.59,680.04
27/6/2016,108.97,92.04,668.26
24/6/2016,112.08,93.4,675.22
23/6/2016,115.08,96.1,701.87
22/6/2016,113.91,95.55,697.46
21/6/2016,114.38,95.91,695.94
20/6/2016,113.37,95.1,693.71
17/6/2016,113.02,95.33,691.72
16/6/2016,114.39,97.55,710.36
15/6/2016,114.6,97.14,718.92
14/6/2016,114.94,97.46,718.27
13/6/2016,113.95,97.34,718.36
10/6/2016,116.62,98.83,719.41
9/6/2016,118.56,99.65,728.58
8/6/2016,118.39,98.94,728.28
7/6/2016,117.76,99.03,716.65
6/6/2016,118.79,98.63,716.55
3/6/2016,118.47,97.92,722.34
2/6/2016,118.93,97.72,730.4
1/6/2016,118.78,98.46,734.15
31/5/2016,118.81,99.86,735.72
27/5/2016,119.38,100.35,732.66
26/5/2016,119.47,100.41,724.12
25/5/2016,117.89,99.62,725.27
24/5/2016,117.7,97.9,720.09
23/5/2016,115.97,96.43,704.24
20/5/2016,117.35,95.22,709.74
19/5/2016,116.81,94.2,700.32
18/5/2016,117.65,94.56,706.63
17/5/2016,117.35,93.49,706.23
16/5/2016,118.67,93.88,716.49
13/5/2016,119.81,90.52,710.83
12/5/2016,120.28,90.34,713.31
11/5/2016,119.52,92.51,715.29
10/5/2016,120.5,93.42,723.18
9/5/2016,119.24,92.79,712.9
6/5/2016,119.49,92.72,711.12
5/5/2016,117.81,93.24,701.43
4/5/2016,118.06,94.19,695.7
3/5/2016,117.43,95.18,692.36
2/5/2016,118.57,93.64,698.21
29/4/2016,117.58,93.74,693.01
28/4/2016,116.73,94.83,691.02
27/4/2016,108.89,97.82,705.84
26/4/2016,108.76,104.35,708.14
25/4/2016,110.1,105.08,723.15
22/4/2016,110.56,105.68,718.77
21/4/2016,113.44,105.97,759.14
20/4/2016,112.42,107.13,752.67
19/4/2016,112.29,106.91,753.93
18/4/2016,110.45,107.48,766.61
15/4/2016,109.64,109.85,759
14/4/2016,110.84,112.1,753.2
13/4/2016,110.51,112.04,751.72
12/4/2016,110.61,110.44,743.09
11/4/2016,108.99,109.02,736.1
8/4/2016,110.63,108.66,739.15
7/4/2016,113.64,108.54,740.28
6/4/2016,113.71,110.96,745.69
5/4/2016,112.22,109.81,737.8
4/4/2016,112.55,111.12,745.29
1/4/2016,116.06,109.99,749.91
31/3/2016,114.1,108.99,744.95
30/3/2016,114.7,109.56,750.53
29/3/2016,116.14,107.68,744.77
28/3/2016,113.69,105.19,733.53
24/3/2016,113.05,105.67,735.3
23/3/2016,112.54,106.13,738.06
22/3/2016,112.25,106.72,740.75
21/3/2016,111.85,105.91,742.09
18/3/2016,111.45,105.92,737.6
17/3/2016,111.02,105.8,737.78
16/3/2016,112.18,105.97,736.09
15/3/2016,110.67,104.58,728.33
14/3/2016,109.89,102.52,730.49
11/3/2016,109.41,102.26,726.82
10/3/2016,107.32,101.17,712.82
9/3/2016,107.51,101.12,705.24
8/3/2016,105.93,101.03,693.97
7/3/2016,105.73,101.87,695.16
4/3/2016,108.39,103.01,710.89
3/3/2016,109.58,101.5,712.42
2/3/2016,109.95,100.75,718.85
1/3/2016,109.82,100.53,718.81
29/2/2016,106.92,96.69,697.77
26/2/2016,107.92,96.91,705.07
25/2/2016,108.07,96.76,705.75
24/2/2016,106.88,96.1,699.56
23/2/2016,105.46,94.69,695.85
22/2/2016,107.16,96.88,706.46
19/2/2016,104.57,96.04,700.91
18/2/2016,103.47,96.26,697.35
17/2/2016,105.2,98.12,708.4
16/2/2016,101.61,96.64,691
12/2/2016,102.01,93.99,682.4
11/2/2016,101.91,93.7,683.11
10/2/2016,101,94.27,684.12
9/2/2016,99.54,94.99,678.11
8/2/2016,99.75,95.01,682.74
5/2/2016,104.07,94.02,683.57
4/2/2016,110.49,96.6,708.01
3/2/2016,112.69,96.35,726.95
2/2/2016,114.61,94.48,764.65
1/2/2016,115.09,96.43,752
29/1/2016,112.21,97.34,742.95
28/1/2016,109.11,94.09,730.96
27/1/2016,94.45,93.42,699.99
26/1/2016,97.34,99.99,713.04
25/1/2016,97.01,99.44,711.67
22/1/2016,97.94,101.42,725.25
21/1/2016,94.16,96.3,706.59
20/1/2016,94.35,96.79,698.45
19/1/2016,95.26,96.66,701.79
15/1/2016,94.97,97.13,694.45
14/1/2016,98.37,99.52,714.72
13/1/2016,95.44,97.39,700.56
12/1/2016,99.37,99.96,726.07
11/1/2016,97.51,98.53,716.03
8/1/2016,97.33,96.96,714.47
7/1/2016,97.92,96.45,726.39
6/1/2016,102.97,100.7,743.62
5/1/2016,102.73,102.71,742.58
4/1/2016,102.22,105.35,741.84
31/12/2015,104.66,105.26,758.88
30/12/2015,106.22,107.32,771
29/12/2015,107.26,108.74,776.6
28/12/2015,105.93,106.82,762.51
24/12/2015,105.02,108.03,748.4
23/12/2015,104.63,108.61,750.31
22/12/2015,105.51,107.23,750
21/12/2015,104.77,107.33,747.77
18/12/2015,104.04,106.03,739.31
17/12/2015,106.22,108.98,749.43
16/12/2015,106.79,111.34,758.09
15/12/2015,104.55,110.49,743.4
14/12/2015,104.66,112.48,747.77
11/12/2015,102.12,113.18,738.87
10/12/2015,105.42,116.17,749.46
9/12/2015,104.6,115.62,751.61
8/12/2015,106.49,118.23,762.37
7/12/2015,105.61,118.28,763.25
4/12/2015,106.18,119.03,766.81
3/12/2015,104.38,115.2,752.54
2/12/2015,106.07,116.28,762.38
